fields_cust_id,feature_id,user_id,fields_value,lang_id,created_at,updated_at
413,56,20341,Cuban music,3,2019-08-19 17:15:06.0,2019-08-19 17:15:06.0
414,56,20395,TRAP REGUEATON r & b,1,2019-08-23 11:12:04.0,2019-08-23 11:12:04.0
415,56,20395,REGUEATON,1,2019-08-23 11:12:31.0,2019-08-23 11:12:31.0
417,56,20462,Reggaeton Urbano,1,2019-08-28 08:19:03.0,2019-08-28 08:19:03.0
419,56,20525,"Salsa, merengue, bolero, balada, urbana, gaita zuliana, afrovenezolana, entre otros.",3,2019-09-02 05:20:04.0,2019-09-02 05:20:04.0
420,302,20532,"Literatura, español, matemáticas, historia, inglés",3,2019-09-02 16:30:14.0,2019-09-02 16:30:14.0
421,56,20547,Música gospel,3,2019-09-03 13:14:27.0,2019-09-03 13:14:27.0
423,56,16639,Pop/R&B,3,2019-09-03 16:55:31.0,2019-09-03 16:55:31.0
424,302,20563,Ciencias sociales,3,2019-09-04 05:25:19.0,2019-09-04 05:25:19.0
425,56,20566,"Pop, Hip-Hop, Rap y Romanticos",3,2019-09-04 21:13:47.0,2019-09-04 21:13:47.0
426,56,20623,Baladas,3,2019-09-08 02:33:13.0,2019-09-08 02:33:13.0
427,56,20623,Bachatas,3,2019-09-08 02:33:36.0,2019-09-08 02:33:36.0
428,56,20682,Urbana,3,2019-09-11 16:41:26.0,2019-09-11 16:41:26.0
429,56,20682,Urbana,3,2019-09-11 16:41:28.0,2019-09-11 16:41:28.0
430,56,20787,Baladas,3,2019-09-17 10:20:03.0,2019-09-17 10:20:03.0
431,56,20835,"Pop, R&B",1,2019-09-21 01:51:03.0,2019-09-21 01:51:03.0
432,56,20905,Romanticas,3,2019-09-26 17:31:42.0,2019-09-26 17:31:42.0
433,56,20935,"Rap, trap y dembow",3,2019-09-28 19:17:50.0,2019-09-28 19:17:50.0
434,56,20935,"Rap, trap y dembow",3,2019-09-28 19:17:55.0,2019-09-28 19:17:55.0
436,56,20942,regueton,1,2019-09-29 03:57:38.0,2019-09-29 03:57:38.0
437,56,20942,trap,1,2019-09-29 03:57:45.0,2019-09-29 03:57:45.0
438,56,20942,dembow,1,2019-09-29 03:57:51.0,2019-09-29 03:57:51.0
440,56,20942,r&b,1,2019-09-29 03:58:23.0,2019-09-29 03:58:23.0
441,56,20942,dance hall,1,2019-09-29 04:07:09.0,2019-09-29 04:07:09.0
443,56,20942,electro dance,1,2019-09-29 04:08:54.0,2019-09-29 04:08:54.0
445,56,20942,electro dance,1,2019-09-29 04:09:49.0,2019-09-29 04:09:49.0
446,56,20958,Denbow,3,2019-09-29 22:55:20.0,2019-09-29 22:55:20.0
447,56,20958,Romántico,3,2019-09-29 22:56:07.0,2019-09-29 22:56:07.0
448,56,21032,Casi todos,3,2019-10-04 21:58:30.0,2019-10-04 21:58:30.0
449,56,21086,Cual quiera .,3,2019-10-08 02:32:47.0,2019-10-08 02:32:47.0
450,56,21117,Latino americano,3,2019-10-10 13:33:45.0,2019-10-10 13:33:45.0
451,56,21129,Genero urbano,3,2019-10-11 13:54:30.0,2019-10-11 13:54:30.0
452,56,21129,Genero urbano,3,2019-10-11 13:54:39.0,2019-10-11 13:54:39.0
453,518,21163,Fl,3,2019-10-13 06:41:53.0,2019-10-13 06:41:53.0
454,152,21163,Fl estudio,3,2019-10-13 06:42:25.0,2019-10-13 06:42:25.0
455,56,21163,Dembow Urbano,3,2019-10-13 06:42:52.0,2019-10-13 06:42:52.0
457,365,21164,Bachata,3,2019-10-13 11:06:10.0,2019-10-13 11:06:10.0
458,365,21164,Bachata,3,2019-10-13 11:06:14.0,2019-10-13 11:06:14.0
459,365,21164,Merengue de cuerdas,3,2019-10-13 11:06:38.0,2019-10-13 11:06:38.0
460,366,21164,1ra guitarra,3,2019-10-13 11:08:05.0,2019-10-13 11:08:05.0
461,366,21164,2da guitarra,3,2019-10-13 11:08:19.0,2019-10-13 11:08:19.0
462,366,21164,Teclado,3,2019-10-13 11:09:11.0,2019-10-13 11:09:11.0
463,366,21164,Bongo,3,2019-10-13 11:09:59.0,2019-10-13 11:09:59.0
464,366,21164,Tambora,3,2019-10-13 11:10:09.0,2019-10-13 11:10:09.0
465,366,21164,Güira,3,2019-10-13 11:10:22.0,2019-10-13 11:10:22.0
466,366,21164,Batería electrónica,3,2019-10-13 11:11:22.0,2019-10-13 11:11:22.0
467,366,21164,Voz principa,3,2019-10-13 11:12:39.0,2019-10-13 11:12:39.0
468,366,21164,Coro,3,2019-10-13 11:12:50.0,2019-10-13 11:12:50.0
469,199,21185,Terror,3,2019-10-14 18:54:59.0,2019-10-14 18:54:59.0
470,56,21250,De todo tipo de guero,3,2019-10-19 03:28:41.0,2019-10-19 03:28:41.0
471,56,21275,Regue,3,2019-10-21 01:01:25.0,2019-10-21 01:01:25.0
472,56,21285,Romántico,3,2019-10-21 22:47:17.0,2019-10-21 22:47:17.0
474,199,21349,"Romance, comedia, accion",3,2019-10-26 16:13:53.0,2019-10-26 16:13:53.0
475,199,21349,"Romance, comedia, accion",3,2019-10-26 16:13:53.0,2019-10-26 16:13:53.0
476,56,11078,xxxxx,3,2019-10-28 19:24:36.0,2019-10-28 19:24:36.0
477,56,21401,"Romántica,baladas",3,2019-10-29 22:10:55.0,2019-10-29 22:10:55.0
478,56,20826,urbana,3,2019-10-31 15:25:37.0,2019-10-31 15:25:37.0
479,517,21454,adobe premiere pro,3,2019-11-02 18:12:12.0,2019-11-02 18:12:12.0
480,517,21454,adobe premiere pro,3,2019-11-02 18:12:14.0,2019-11-02 18:12:14.0
481,516,21454,Wondershare filmora,3,2019-11-02 18:12:28.0,2019-11-02 18:12:28.0
482,517,21454,Wondershare filmora,3,2019-11-02 18:12:39.0,2019-11-02 18:12:39.0
483,517,21454,Photoshop,3,2019-11-02 18:12:51.0,2019-11-02 18:12:51.0
484,278,21454,fantasía,3,2019-11-02 18:14:16.0,2019-11-02 18:14:16.0
485,56,21477,"Mariachi, baladas",3,2019-11-04 12:07:13.0,2019-11-04 12:07:13.0
486,56,21512,Música urbana,3,2019-11-06 22:29:25.0,2019-11-06 22:29:25.0
488,56,21519,Pop / Urban Music / Trap,1,2019-11-07 15:43:18.0,2019-11-07 15:43:18.0
489,56,21519,Pop / Urban Music / Trap,1,2019-11-07 15:43:20.0,2019-11-07 15:43:20.0
490,624,21528,Taller de la decorasion,3,2019-11-08 13:26:42.0,2019-11-08 13:26:42.0
491,624,21528,Taller de la decorasion,3,2019-11-08 13:26:49.0,2019-11-08 13:26:49.0
492,56,21614,Musica urbana,3,2019-11-15 20:36:03.0,2019-11-15 20:36:03.0
493,56,21614,Balada p,3,2019-11-15 20:36:33.0,2019-11-15 20:36:33.0
494,56,21614,Balada p,3,2019-11-15 20:36:35.0,2019-11-15 20:36:35.0
495,56,21614,Balada p,3,2019-11-15 20:36:41.0,2019-11-15 20:36:41.0
496,56,21614,Balada pop,3,2019-11-15 20:36:47.0,2019-11-15 20:36:47.0
497,56,16102,somegen,1,2019-11-18 16:49:43.0,2019-11-18 16:49:43.0
498,56,21708,K-pop y pop,3,2019-11-23 17:48:34.0,2019-11-23 17:48:34.0
500,56,21744,urbano,3,2019-11-26 12:10:04.0,2019-11-26 12:10:04.0
501,305,21757,Comunicación social y medios digitales,3,2019-11-27 13:42:03.0,2019-11-27 13:42:03.0
502,56,21802,Me encanta cantar,3,2019-12-01 00:03:38.0,2019-12-01 00:03:38.0
503,56,21894,Ha ser rap,3,2019-12-09 05:50:53.0,2019-12-09 05:50:53.0
505,199,21934,Drama-Comedia romantica,3,2019-12-13 00:24:34.0,2019-12-13 00:24:34.0
506,504,21982,Pajarera . Cortometraje,3,2019-12-17 14:30:56.0,2019-12-17 14:30:56.0
507,56,16102,genero que no existe,1,2020-02-12 15:51:19.0,2020-02-12 15:51:19.0
509,56,12986,patata,1,2020-09-30 14:00:51.0,2020-09-30 14:00:51.0
511,311,12986,xb,1,2020-10-05 20:33:10.0,2020-10-05 20:33:10.0
