module_id,title,sub_title,linked_type,order_no,status,created_at,updated_at
136,"{""en"": ""Sommelier & Bartender Experience"", ""es"": ""Experiencia de Sommelier y Bartender""}","{""en"": ""Sommelier and Bartender"", ""es"": ""Sommelier y Bartender""}",3,123,1,2018-06-15 19:39:15.0,2018-09-28 15:16:33.0
137,"{""en"": ""Brewing Information"", ""es"": ""Fabricación de Cerveza""}","{""en"": ""."", ""es"": "".""}",3,124,1,2018-06-15 19:43:39.0,2018-09-27 19:39:09.0
138,"{""en"": ""Teachings Information"", ""es"": ""Información de Enseñanzas""}","{""en"": ""."", ""es"": "".""}",3,125,1,2018-06-15 19:46:47.0,2018-09-28 15:26:41.0
139,"{""en"": ""Studies Information"", ""es"": ""Información de Estudios""}","{""en"": ""."", ""es"": "".""}",3,126,1,2018-06-15 19:52:59.0,2018-09-28 15:38:08.0
140,"{""en"": ""Web Development"", ""es"": ""Desarrollo Web""}","{""en"": ""."", ""es"": "".""}",3,127,1,2018-06-18 01:40:06.0,2018-09-27 19:39:09.0
141,"{""en"": ""Apps Information"", ""es"": ""Información de Aplicaciones""}","{""en"": ""."", ""es"": "".""}",3,128,1,2018-06-18 03:19:01.0,2018-09-27 19:39:09.0
142,"{""en"": ""Video Games Information"", ""es"": ""Información de Videojuegos""}","{""en"": ""."", ""es"": "".""}",3,129,1,2018-06-18 03:25:24.0,2018-10-11 16:25:16.0
143,"{""en"": ""Databases Information"", ""es"": ""Información de Bases de datos""}","{""en"": ""."", ""es"": "".""}",3,130,1,2018-06-18 03:33:02.0,2018-09-27 19:39:09.0
144,"{""en"": ""Software Information"", ""es"": ""Información de Software""}","{""en"": ""."", ""es"": "".""}",3,131,1,2018-06-18 03:43:56.0,2018-09-27 19:39:09.0
145,"{""en"": ""Finance Information"", ""es"": ""Información de Finanzas""}","{""en"": ""."", ""es"": "".""}",3,132,1,2018-06-18 03:46:39.0,2018-09-28 15:54:26.0
146,"{""en"": ""Entrepreneurship Information"", ""es"": ""Información de Emprendimiento""}","{""en"": ""."", ""es"": "".""}",3,133,1,2018-06-18 03:51:00.0,2018-09-28 15:54:54.0
147,"{""en"": ""Sales Information "", ""es"": ""Información de Ventas""}","{""en"": ""."", ""es"": "".""}",3,134,1,2018-06-18 03:52:39.0,2018-09-27 19:39:09.0
148,"{""en"": ""Network & Security"", ""es"": ""Redes y Seguridad""}","{""en"": ""."", ""es"": "".""}",3,135,1,2018-06-18 03:56:16.0,2018-09-27 19:39:09.0
149,"{""en"": ""Field Information "", ""es"": ""Información de Campo""}","{""en"": ""."", ""es"": "".""}",3,226,1,2018-06-18 04:30:23.0,2018-09-27 19:39:11.0
150,"{""en"": ""Beauty Pageant Information"", ""es"": ""Información de Desfiles de Belleza""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,136,1,2018-06-18 17:05:15.0,2018-09-28 16:33:52.0
151,"{""en"": ""Beauty Pageant Experience"", ""es"": ""Experiencia de Desfiles de Belleza""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,137,1,2018-06-18 17:14:43.0,2018-09-28 16:36:08.0
152,"{""en"": ""Cosmetics Manufacturing"", ""es"": ""Fabricación de Cosméticos""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,138,1,2018-06-18 17:39:17.0,2018-09-28 16:56:44.0
153,"{""en"": ""Cosmetics Selling"", ""es"": ""Venta de Cosméticos""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,139,1,2018-06-18 17:47:15.0,2018-09-28 16:57:12.0
154,"{""en"": ""Fashion Store Information"", ""es"": ""Información de Venta de Ropa""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,140,1,2018-06-18 17:54:42.0,2018-09-28 17:50:26.0
155,"{""en"": ""Tour Information"", ""es"": ""Información de Tours""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,141,1,2018-06-18 18:02:42.0,2018-10-09 16:51:43.0
156,"{""en"": ""Accessories Sales Information"", ""es"": ""Información de Venta de Accesorios""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,142,1,2018-06-18 18:08:16.0,2020-11-12 17:25:34.0
157,"{""en"": ""Fashion Marketing"", ""es"": ""Marketing de Moda""}","{""en"": ""."", ""es"": "".""}",3,143,1,2018-06-18 18:22:02.0,2018-09-27 19:39:09.0
158,"{""en"": ""Textile Design & Production"", ""es"": ""Diseño y Producción Textil ""}","{""en"": ""."", ""es"": "".""}",3,144,1,2018-06-18 18:31:24.0,2018-09-27 19:39:09.0
159,"{""en"": ""Fashion Design Information"", ""es"": ""Información de Diseño de Moda""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,145,1,2018-06-18 18:43:05.0,2018-10-08 18:53:11.0
160,"{""en"": ""Musical Production Information"", ""es"": ""Información de Producción Musical""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,146,1,2018-06-18 18:44:13.0,2018-10-09 15:04:28.0
161,"{""en"": ""Modeling Agency"", ""es"": ""Agencia de Modelaje""}","{""en"": ""."", ""es"": "".""}",3,147,1,2018-06-18 18:46:58.0,2018-09-27 19:39:09.0
162,"{""en"": ""Mastering Information"", ""es"": ""Información de Masterización""}","{""en"": ""."", ""es"": "".""}",3,148,1,2018-06-18 18:54:22.0,2018-09-27 19:39:09.0
163,"{""en"": ""Recording Information"", ""es"": ""Información de Grabación""}","{""en"": ""Sound recording Information"", ""es"": ""Información de Grabación de sonido""}",3,149,1,2018-06-18 18:58:59.0,2018-10-08 19:14:26.0
164,"{""en"": ""Academy Information"", ""es"": ""Información de Academia""}","{""en"": ""Models academy"", ""es"": ""Academia de modelaje""}",3,150,1,2018-06-18 19:13:45.0,2018-10-01 15:07:15.0
165,"{""en"": ""Mixing Information"", ""es"": ""Información de Mezcla""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,151,1,2018-06-18 19:58:17.0,2018-10-08 19:51:23.0
166,"{""en"": ""Dance Academy Information"", ""es"": ""Información de Academia de Baile""}","{""en"": ""Business, Company"", ""es"": ""Compañía, Negocios""}",3,152,1,2018-06-19 14:36:54.0,2018-10-09 16:32:25.0
